id,tags
0,calculation auditory
1,calculation auditory
2,language human_sound auditory
3,human_sound auditory
4,language auditory
5,calculation auditory
6,visual
7,objects visual
8,visual_words visual
9,left_foot visual
10,language auditory
11,left_hand objects visual
12,calculation auditory
13,vertical_checkerboard visual
14,language human_sound auditory
15,visual
16,visual
17,places visual
18,auditory
19,visual
20,language human_sound auditory
21,language human_sound auditory
22,visual
23,horizontal_checkerboard visual
24,left_hand auditory
25,faces right_hand visual
26,faces right_hand visual
27,left_hand visual_words visual
28,auditory
29,vertical_checkerboard visual
30,objects visual
31,right_hand visual
32,visual
33,calculation auditory
34,visual
35,faces right_hand visual
36,language human_sound auditory
37,calculation auditory
38,objects visual
39,objects right_hand visual
40,visual_words visual
41,visual
42,visual_words visual
43,language auditory
44,faces visual
45,objects visual
46,faces visual
47,calculation visual_words visual
48,visual saccades
49,right_hand auditory
50,visual
51,language human_sound auditory
52,left_hand visual
53,calculation auditory
54,language visual_words visual
55,horizontal_checkerboard visual
56,language auditory
57,visual_words visual
58,objects visual
59,objects right_hand visual
60,right_hand auditory
61,objects visual
62,visual
63,non_human_sound auditory
64,language visual_words visual
65,right_hand visual
66,language right_hand auditory
67,visual
68,objects visual
69,visual_words visual
70,objects right_hand visual
71,language visual_words visual
72,language visual_words visual
73,visual
74,calculation right_hand auditory
75,visual
76,visual_digits visual
77,objects visual non_human_sound auditory
78,language visual_words visual
79,auditory
80,language right_hand visual_words visual
81,faces visual
82,right_hand visual
83,calculation visual_words visual
84,right_hand visual
85,visual
86,language visual_words visual
87,right_hand visual_words visual
88,auditory
89,horizontal_checkerboard visual
90,visual
91,auditory
92,visual
93,language visual_words visual
94,visual
95,visual
96,visual non_human_sound auditory
97,left_foot visual
98,right_hand auditory
99,calculation auditory
100,language right_hand visual_words visual
101,faces visual
102,language visual_words visual
103,visual_words visual
104,left_foot visual
105,language right_hand visual_words visual
106,objects right_hand visual
107,visual
108,visual
109,language human_sound auditory
110,visual
111,visual_words visual
112,calculation auditory
113,objects visual
114,calculation visual_words visual
115,right_hand visual
116,visual
117,objects visual
118,language right_hand visual_words visual
119,non_human_sound auditory
120,objects right_hand visual
121,right_hand visual_words visual
122,objects visual
123,visual_words visual
124,left_foot visual
125,calculation auditory
126,right_hand visual
127,language auditory
128,visual_words visual
129,objects right_hand visual
130,language auditory
131,left_hand visual
132,auditory
133,calculation visual_words visual
134,visual_words visual
135,right_foot visual
136,language visual_words visual
137,visual_words visual
138,auditory
139,visual
140,objects right_hand visual
141,non_human_sound auditory
142,visual_words visual
143,visual
144,right_hand visual
145,language human_sound auditory
146,faces right_hand visual
147,left_hand visual_words visual
148,objects visual
149,visual
150,non_human_sound auditory
151,vertical_checkerboard visual
152,language human_sound auditory
153,language right_hand visual_words visual
154,visual
155,visual non_human_sound auditory
156,right_hand auditory
157,visual_words visual
158,auditory
159,language human_sound auditory
160,language visual_words visual
161,auditory
162,visual
163,right_hand auditory
164,horizontal_checkerboard visual
165,visual
166,right_foot visual
167,visual
168,left_foot visual
169,language human_sound auditory
170,left_hand auditory
171,visual_digits visual
172,right_hand visual_words visual
173,objects visual
174,calculation visual_words visual
175,visual_words visual
176,objects right_hand visual
177,language right_hand auditory
178,left_hand visual_words visual
179,right_hand visual_words visual
180,objects visual
181,objects visual
182,calculation auditory
183,objects visual
184,language right_hand auditory
185,horizontal_checkerboard visual
186,visual_words visual
187,language auditory
188,right_hand visual
189,visual_words visual
190,non_human_sound auditory
191,visual
192,right_hand visual_words visual
193,visual_digits calculation visual
194,visual non_human_sound auditory
195,objects visual
196,language right_hand visual_words visual
197,visual
198,left_hand auditory
199,language visual_words visual
200,faces right_hand visual
201,auditory
202,visual_words visual
203,left_hand auditory
204,visual
205,language auditory
206,language human_sound right_hand auditory
207,language visual_words visual
208,objects visual_words visual
209,visual_words visual
210,objects visual
211,right_hand visual_words visual
212,places visual
213,visual_digits calculation visual
214,visual
215,objects visual non_human_sound auditory
216,vertical_checkerboard visual
217,right_hand auditory
218,left_hand auditory
219,objects right_hand visual
220,objects right_hand visual
221,language visual_words visual
222,language human_sound auditory
223,right_foot visual
224,places visual
225,visual
226,visual_words visual
227,visual
228,visual
229,right_hand visual
230,human_sound auditory
231,scramble visual
232,visual
233,non_human_sound auditory
234,visual_words visual
235,objects visual
236,right_hand auditory
237,visual_words visual
238,visual_words visual
239,objects right_hand visual
240,visual_words visual
241,left_hand auditory
242,visual
243,visual
244,auditory
245,objects visual
246,right_hand visual
247,visual_digits visual
248,non_human_sound auditory
249,language visual_words visual
250,visual
251,right_hand visual
252,visual
253,right_hand visual
254,non_human_sound auditory
255,right_hand visual_words visual
256,objects visual
257,left_hand auditory
258,visual
259,language right_hand auditory
260,visual_words visual
261,visual
262,visual
263,non_human_sound auditory
264,visual_words visual
265,left_hand visual_words visual
266,language visual_words visual
267,faces visual
268,language auditory
269,visual
270,objects right_hand visual
271,visual_words visual
272,language auditory
273,objects right_hand visual
274,non_human_sound auditory
275,objects visual
276,left_hand visual_words visual
277,right_hand visual_words visual
278,right_hand visual
279,right_hand visual_words visual
280,language auditory
281,visual
282,horizontal_checkerboard visual
283,visual
284,right_hand visual
285,language auditory
286,visual_words visual
287,language right_hand visual_words visual
288,visual
289,left_hand visual_words visual
290,objects visual
291,visual_digits visual
292,calculation auditory
293,visual
294,human_sound auditory
295,objects visual
296,language visual_words visual
297,left_hand objects visual
298,visual
299,right_hand visual
300,language visual_words visual
301,left_hand visual_words visual
302,objects visual non_human_sound auditory
303,visual
304,left_hand visual_words visual
305,visual
306,calculation auditory
307,objects visual
308,auditory
309,objects right_hand visual_words visual
310,language right_hand visual_words visual
311,language right_hand visual_words visual
312,visual
313,language right_hand auditory
314,non_human_sound auditory
315,visual_words visual
316,visual_words visual
317,faces visual
318,right_hand visual_words visual
319,language visual_words visual
320,visual
321,visual
322,left_hand auditory
323,horizontal_checkerboard visual
324,right_hand visual
325,horizontal_checkerboard visual
326,objects visual
327,right_hand visual_words visual
328,calculation visual_words visual
329,visual
330,visual
331,language human_sound auditory
332,left_hand auditory
333,visual
334,visual_digits visual
335,auditory
336,visual
337,visual
338,visual_words visual
339,left_foot visual
340,language visual_words visual
341,visual
342,auditory
343,language visual
344,left_hand visual_words visual
345,right_hand auditory
346,visual
347,visual
348,objects visual
349,visual_words visual
350,right_hand visual_words visual
351,calculation auditory
352,objects visual
353,objects visual
354,objects right_hand visual
355,vertical_checkerboard visual
356,language human_sound right_hand auditory
357,visual_digits visual
358,language visual_words visual
359,visual_words visual
360,non_human_sound auditory
361,left_hand visual_words visual
362,calculation visual_words visual
363,right_hand visual
364,visual_words visual
365,non_human_sound auditory
366,language visual_words visual
367,visual
368,places right_hand visual
369,visual
370,language right_hand visual_words visual
371,language auditory
372,objects right_hand visual
373,visual_words visual
374,visual
375,language visual_words visual
376,visual
377,non_human_sound auditory
378,visual_words visual
379,language auditory
380,language visual_words visual
381,right_hand visual
382,objects visual
383,language human_sound auditory
384,visual_words visual
385,language right_hand auditory
386,calculation visual_words visual
387,language visual_words visual
388,auditory
389,right_hand visual
390,language human_sound auditory
391,objects visual
392,calculation visual_words visual
393,objects visual
394,vertical_checkerboard visual
395,objects visual
396,visual_words visual
397,visual
398,calculation auditory
399,right_hand auditory
400,faces right_hand visual
401,objects visual
402,language auditory
403,visual
404,visual_words visual
405,language visual_words visual
406,calculation auditory
407,right_hand auditory
408,visual
409,language right_hand visual_words visual
410,visual
411,visual_words visual
412,visual
413,visual
414,language visual_words visual
415,non_human_sound auditory
416,visual_words visual
417,calculation right_hand auditory
418,language right_hand visual_words visual
419,visual
420,places right_hand visual
421,visual_words visual
422,right_hand auditory
423,visual_words visual
424,vertical_checkerboard visual
425,visual
426,visual_words visual
427,faces visual
428,visual
429,human_sound auditory
430,language visual_words visual
431,visual_words visual
432,language visual_words visual
433,language human_sound auditory
434,objects visual
435,objects visual
436,right_foot visual
437,visual_words visual
438,objects visual
439,objects right_hand visual
440,visual auditory
441,left_hand visual_words visual
442,visual
443,visual
444,right_hand auditory
445,visual
446,language visual_words visual
447,auditory
448,language visual_words visual
449,right_hand visual_words visual
450,visual
451,non_human_sound auditory
452,language visual_words visual
453,objects right_hand visual
454,language human_sound auditory
455,objects right_hand visual
456,right_hand visual
457,right_hand visual
458,visual_words visual non_human_sound auditory
459,left_hand visual
460,vertical_checkerboard visual
461,places visual
462,objects visual
463,language human_sound auditory
464,language visual_words visual
465,right_hand visual
466,language auditory
467,objects visual
468,language right_hand visual_words visual
469,calculation visual_words visual
470,visual
471,language right_hand visual_words visual
472,right_hand auditory
473,language visual_words visual
474,visual
475,visual
476,language human_sound auditory
477,visual
478,auditory
479,left_hand auditory
480,language auditory
481,visual
482,objects visual
483,visual_words visual
484,right_foot visual
485,language auditory
486,visual
487,language visual_words visual
488,right_hand visual
489,language visual_words visual
490,right_hand visual_words visual
491,objects right_hand visual
492,calculation auditory
493,language right_hand auditory
494,visual saccades
495,left_hand objects visual
496,faces visual
497,right_hand auditory
498,visual_words visual
499,objects visual
500,objects right_hand visual
501,language human_sound auditory
502,objects visual non_human_sound auditory
503,language visual_words visual
504,visual
505,objects right_hand visual
506,calculation auditory
507,language visual_words visual
508,faces visual
509,visual
510,horizontal_checkerboard visual
511,visual_words visual
512,visual
513,vertical_checkerboard visual
514,objects visual non_human_sound auditory
515,language visual_words visual
516,objects visual
517,non_human_sound auditory
518,right_hand visual_words visual
519,auditory
520,human_sound auditory
521,language right_hand visual_words visual
522,visual
523,language auditory
524,visual
525,objects visual
526,non_human_sound auditory
527,visual
528,visual_words visual
529,objects right_hand visual
530,visual
531,objects right_hand visual
532,visual_words visual
533,calculation auditory
534,auditory
535,right_hand visual
536,visual_words visual
537,vertical_checkerboard visual
538,language human_sound auditory
539,visual
540,visual
541,language right_hand visual_words visual
542,visual_words visual
543,objects right_hand visual_words visual
544,left_hand visual_words visual
545,visual
546,language visual_words visual
547,auditory
548,visual
549,human_sound auditory
550,objects right_hand visual_words visual
551,right_hand visual_words visual
